GKE Single service


100 users 50% HPA

kubectl get hpa --watch
NAME           REFERENCE             TARGETS        MINPODS   MAXPODS   REPLICAS   AGE
frontend-hpa   Deployment/frontend   cpu: 6%/70%     1         10        1          159m
frontend-hpa   Deployment/frontend   cpu: 1%/70%     1         10        1          159m
frontend-hpa   Deployment/frontend   cpu: 19%/70%    1         10        1          160m


500 users 70% HPA
kubectl get hpa --watch
NAME           REFERENCE             TARGETS       MINPODS   MAXPODS   REPLICAS   AGE
frontend-hpa   Deployment/frontend   cpu: 3%/70%   1         10        1          164m
frontend-hpa   Deployment/frontend   cpu: 152%/70%   1         10        1          165m
frontend-hpa   Deployment/frontend   cpu: 152%/70%   1         10        3          165m
frontend-hpa   Deployment/frontend   cpu: 67%/70%    1         10        3          166m
frontend-hpa   Deployment/frontend   cpu: 67%/70%    1         10        3          171m
frontend-hpa   Deployment/frontend   cpu: 67%/70%    1         10        3          173m
frontend-hpa   Deployment/frontend   cpu: 67%/70%    1         10        3          174m
frontend-hpa   Deployment/frontend   cpu: 67%/70%    1         10        3          175m
frontend-hpa   Deployment/frontend   cpu: 67%/70%    1         10        3          176m
frontend-hpa   Deployment/frontend   cpu: 67%/70%    1         10        3          177m
frontend-hpa   Deployment/frontend   cpu: 67%/70%    1         10        3          3h1m
frontend-hpa   Deployment/frontend   cpu: 67%/70%    1         10        3          3h2m
frontend-hpa   Deployment/frontend   cpu: 66%/70%    1         10        3          3h3m
frontend-hpa   Deployment/frontend   cpu: 67%/70%    1         10        3          3h4m
frontend-hpa   Deployment/frontend   cpu: 6%/70%     1         10        3          3h5m
frontend-hpa   Deployment/frontend   cpu: 7%/70%     1         10        3          3h6m
frontend-hpa   Deployment/frontend   cpu: 8%/70%     1         10        3          3h7m
frontend-hpa   Deployment/frontend   cpu: 7%/70%     1         10        3          3h8m
frontend-hpa   Deployment/frontend   cpu: 8%/70%     1         10        3          3h9m
frontend-hpa   Deployment/frontend   cpu: 8%/70%     1         10        3          3h10m
frontend-hpa   Deployment/frontend   cpu: 8%/70%     1         10        1          3h10m
frontend-hpa   Deployment/frontend   cpu: 10%/70%    1         10        1          3h10m
frontend-hpa   Deployment/frontend   cpu: 21%/70%    1         10        1          3h12m


100 users 85% HPA

kubectl get hpa --watch
NAME           REFERENCE             TARGETS       MINPODS   MAXPODS   REPLICAS   AGE
frontend-hpa   Deployment/frontend   cpu: 7%/85%   1         10        1          3h16m
frontend-hpa   Deployment/frontend   cpu: 47%/85%   1         10        1          3h16m
frontend-hpa   Deployment/frontend   cpu: 196%/85%   1         10        1          3h17m
frontend-hpa   Deployment/frontend   cpu: 196%/85%   1         10        3          3h17m
frontend-hpa   Deployment/frontend   cpu: 65%/85%    1         10        3          3h18m
frontend-hpa   Deployment/frontend   cpu: 61%/85%    1         10        3          3h19m
frontend-hpa   Deployment/frontend   cpu: 64%/85%    1         10        3          3h20m
frontend-hpa   Deployment/frontend   cpu: 60%/85%    1         10        3          3h21m
frontend-hpa   Deployment/frontend   cpu: 62%/85%    1         10        3          3h22m
frontend-hpa   Deployment/frontend   cpu: 63%/85%    1         10        3          3h23m
frontend-hpa   Deployment/frontend   cpu: 65%/85%    1         10        3          3h24m
frontend-hpa   Deployment/frontend   cpu: 60%/85%    1         10        3          3h25m
frontend-hpa   Deployment/frontend   cpu: 65%/85%    1         10        3          3h26m
frontend-hpa   Deployment/frontend   cpu: 66%/85%    1         10        3          3h27m
frontend-hpa   Deployment/frontend   cpu: 64%/85%    1         10        3          3h28m
frontend-hpa   Deployment/frontend   cpu: 64%/85%    1         10        3          3h29m
frontend-hpa   Deployment/frontend   cpu: 66%/85%    1         10        3          3h30m
frontend-hpa   Deployment/frontend   cpu: 65%/85%    1         10        3          3h31m
frontend-hpa   Deployment/frontend   cpu: 63%/85%    1         10        3          3h33m
frontend-hpa   Deployment/frontend   cpu: 64%/85%    1         10        3          3h34m
frontend-hpa   Deployment/frontend   cpu: 61%/85%    1         10        3          3h35m
frontend-hpa   Deployment/frontend   cpu: 66%/85%    1         10        3          3h36m
frontend-hpa   Deployment/frontend   cpu: 65%/85%    1         10        3          3h37m
frontend-hpa   Deployment/frontend   cpu: 66%/85%    1         10        3          3h38m
frontend-hpa   Deployment/frontend   cpu: 65%/85%    1         10        3          3h40m
frontend-hpa   Deployment/frontend   cpu: 20%/85%    1         10        3          3h41m
frontend-hpa   Deployment/frontend   cpu: 5%/85%     1         10        3          3h43m
frontend-hpa   Deployment/frontend   cpu: 7%/85%     1         10        3          3h44m
frontend-hpa   Deployment/frontend   cpu: 6%/85%     1         10        3          3h45m
frontend-hpa   Deployment/frontend   cpu: 6%/85%     1         10        3          3h46m
frontend-hpa   Deployment/frontend   cpu: 6%/85%     1         10        3          3h46m
frontend-hpa   Deployment/frontend   cpu: 6%/85%     1         10        1          3h46m
frontend-hpa   Deployment/frontend   cpu: 20%/85%    1         10        1          3h47m
frontend-hpa   Deployment/frontend   cpu: 23%/85%    1         10        1          3h48m
frontend-hpa   Deployment/frontend   cpu: 19%/85%    1         10        1          3h49m
frontend-hpa   Deployment/frontend   cpu: 22%/85%    1         10        1          3h50m


300 users 85% HPA

kubectl get hpa --watch
horizontalpodautoscaler.autoscaling/frontend-hpa created
NAME           REFERENCE             TARGETS              MINPODS   MAXPODS   REPLICAS   AGE
frontend-hpa   Deployment/frontend   cpu: 4%/85%          1         10        1          22s
frontend-hpa   Deployment/frontend   cpu: 172%/85%        1         10        1          63s
frontend-hpa   Deployment/frontend   cpu: 172%/85%        1         10        3          75s
frontend-hpa   Deployment/frontend   cpu: 67%/85%         1         10        3          2m10s
frontend-hpa   Deployment/frontend   cpu: 66%/85%         1         10        3          4m14s
frontend-hpa   Deployment/frontend   cpu: 67%/85%         1         10        3          7m33s
frontend-hpa   Deployment/frontend   cpu: 66%/85%         1         10        3          10m
frontend-hpa   Deployment/frontend   cpu: 67%/85%         1         10        3          11m
frontend-hpa   Deployment/frontend   cpu: 66%/85%         1         10        3          13m
frontend-hpa   Deployment/frontend   cpu: 67%/85%         1         10        3          14m
frontend-hpa   Deployment/frontend   cpu: 66%/85%         1         10        3          15m
frontend-hpa   Deployment/frontend   cpu: 66%/85%         1         10        3          18m
frontend-hpa   Deployment/frontend   cpu: 66%/85%         1         10        3          19m
frontend-hpa   Deployment/frontend   cpu: 67%/85%         1         10        3          20m
frontend-hpa   Deployment/frontend   cpu: 66%/85%         1         10        3          23m
frontend-hpa   Deployment/frontend   cpu: 67%/85%         1         10        3          24m
frontend-hpa   Deployment/frontend   cpu: 54%/85%         1         10        3          25m
frontend-hpa   Deployment/frontend   cpu: 8%/85%          1         10        3          26m
frontend-hpa   Deployment/frontend   cpu: 6%/85%          1         10        3          27m
frontend-hpa   Deployment/frontend   cpu: 7%/85%          1         10        3          28m
frontend-hpa   Deployment/frontend   cpu: 6%/85%          1         10        3          30m
frontend-hpa   Deployment/frontend   cpu: 6%/85%          1         10        3          30m
frontend-hpa   Deployment/frontend   cpu: 6%/85%          1         10        2          31m
frontend-hpa   Deployment/frontend   cpu: 6%/85%          1         10        1          31m
frontend-hpa   Deployment/frontend   cpu: 17%/85%         1         10        1          31m
frontend-hpa   Deployment/frontend   cpu: 18%/85%         1         10        1          32m
frontend-hpa   Deployment/frontend   cpu: 16%/85%         1         10        1          33m


500 users 85% HPA

kubectl get hpa --watch
NAME           REFERENCE             TARGETS       MINPODS   MAXPODS   REPLICAS   AGE
frontend-hpa   Deployment/frontend   cpu: 0%/85%   1         10        1          40m
frontend-hpa   Deployment/frontend   cpu: 161%/85%   1         10        1          41m
frontend-hpa   Deployment/frontend   cpu: 161%/85%   1         10        2          41m
frontend-hpa   Deployment/frontend   cpu: 200%/85%   1         10        2          41m
frontend-hpa   Deployment/frontend   cpu: 200%/85%   1         10        3          41m
frontend-hpa   Deployment/frontend   cpu: 67%/85%    1         10        3          42m
frontend-hpa   Deployment/frontend   cpu: 67%/85%    1         10        3          43m
frontend-hpa   Deployment/frontend   cpu: 67%/85%    1         10        3          44m
frontend-hpa   Deployment/frontend   cpu: 66%/85%    1         10        3          49m
frontend-hpa   Deployment/frontend   cpu: 67%/85%    1         10        3          50m
frontend-hpa   Deployment/frontend   cpu: 67%/85%    1         10        3          52m
frontend-hpa   Deployment/frontend   cpu: 67%/85%    1         10        3          53m
frontend-hpa   Deployment/frontend   cpu: 67%/85%    1         10        3          54m
frontend-hpa   Deployment/frontend   cpu: 67%/85%    1         10        3          58m
frontend-hpa   Deployment/frontend   cpu: 67%/85%    1         10        3          59m
frontend-hpa   Deployment/frontend   cpu: 67%/85%    1         10        3          60m
frontend-hpa   Deployment/frontend   cpu: 66%/85%    1         10        3          63m
frontend-hpa   Deployment/frontend   cpu: 67%/85%    1         10        3          64m
frontend-hpa   Deployment/frontend   cpu: 24%/85%    1         10        3          66m
frontend-hpa   Deployment/frontend   cpu: 7%/85%     1         10        3          67m
frontend-hpa   Deployment/frontend   cpu: 7%/85%     1         10        3          68m
frontend-hpa   Deployment/frontend   cpu: 7%/85%     1         10        3          69m
frontend-hpa   Deployment/frontend   cpu: 7%/85%     1         10        3          70m
frontend-hpa   Deployment/frontend   cpu: 7%/85%     1         10        3          71m
frontend-hpa   Deployment/frontend   cpu: 7%/85%     1         10        1          71m
frontend-hpa   Deployment/frontend   cpu: 16%/85%    1         10        1          71m
frontend-hpa   Deployment/frontend   cpu: 20%/85%    1         10        1          72m
frontend-hpa   Deployment/frontend   cpu: 13%/85%    1         10        1          73m
