Multiservices
100 users 50% HPA

PS C:\Windows\system32> kubectl get hpa --watch
NAME                 REFERENCE                          TARGETS        MINPODS   MAXPODS   REPLICAS   AGE
checkout-hpa         Deployment/checkoutservice         cpu: 1%/50%     1         10        1          72m
recommendation-hpa   Deployment/recommendationservice   cpu: 54%/50%    1         10        4          72m
recommendation-hpa   Deployment/recommendationservice   cpu: 42%/50%    1         10        4          73m
cart-hpa             Deployment/cartservice             cpu: 24%/50%    1         10        1          74m
recommendation-hpa   Deployment/recommendationservice   cpu: 41%/50%    1         10        4          74m
cart-hpa             Deployment/cartservice             cpu: 27%/50%    1         10        1          75m
recommendation-hpa   Deployment/recommendationservice   cpu: 43%/50%    1         10        4          75m
cart-hpa             Deployment/cartservice             cpu: 24%/50%    1         10        1          76m
recommendation-hpa   Deployment/recommendationservice   cpu: 42%/50%    1         10        4          76m
cart-hpa             Deployment/cartservice             cpu: 21%/50%    1         10        1          77m
frontend-hpa         Deployment/frontend                cpu: 49%/50%    1         10        4          77m
checkout-hpa         Deployment/checkoutservice         cpu: 2%/50%     1         10        1          77m
recommendation-hpa   Deployment/recommendationservice   cpu: 41%/50%    1         10        4          77m
cart-hpa             Deployment/cartservice             cpu: 23%/50%    1         10        1          78m
frontend-hpa         Deployment/frontend                cpu: 50%/50%    1         10        4          78m
checkout-hpa         Deployment/checkoutservice         cpu: 1%/50%     1         10        1          78m
recommendation-hpa   Deployment/recommendationservice   cpu: 42%/50%    1         10        4          78m
cart-hpa             Deployment/cartservice             cpu: 27%/50%    1         10        1          79m
checkout-hpa         Deployment/checkoutservice         cpu: 2%/50%     1         10        1          79m
recommendation-hpa   Deployment/recommendationservice   cpu: 43%/50%    1         10        4          79m
recommendation-hpa   Deployment/recommendationservice   cpu: 42%/50%    1         10        4          80m
checkout-hpa         Deployment/checkoutservice         cpu: 1%/50%     1         10        1          81m
cart-hpa             Deployment/cartservice             cpu: 27%/50%    1         10        1          81m
recommendation-hpa   Deployment/recommendationservice   cpu: 43%/50%    1         10        4          81m
cart-hpa             Deployment/cartservice             cpu: 23%/50%    1         10        1          82m
frontend-hpa         Deployment/frontend                cpu: 46%/50%    1         10        4          82m
checkout-hpa         Deployment/checkoutservice         cpu: 2%/50%     1         10        1          82m
recommendation-hpa   Deployment/recommendationservice   cpu: 39%/50%    1         10        4          82m
frontend-hpa         Deployment/frontend                cpu: 4%/50%     1         10        4          83m
checkout-hpa         Deployment/checkoutservice         cpu: 1%/50%     1         10        1          83m
cart-hpa             Deployment/cartservice             cpu: 2%/50%     1         10        1          83m
recommendation-hpa   Deployment/recommendationservice   cpu: 4%/50%     1         10        4          83m
checkout-hpa         Deployment/checkoutservice         cpu: 2%/50%     1         10        1          84m
checkout-hpa         Deployment/checkoutservice         cpu: 1%/50%     1         10        1          85m
checkout-hpa         Deployment/checkoutservice         cpu: 2%/50%     1         10        1          86m
frontend-hpa         Deployment/frontend                cpu: 5%/50%     1         10        4          87m
cart-hpa             Deployment/cartservice             cpu: 3%/50%     1         10        1          87m
frontend-hpa         Deployment/frontend                cpu: 5%/50%     1         10        4          88m
recommendation-hpa   Deployment/recommendationservice   cpu: 4%/50%     1         10        4          88m
cart-hpa             Deployment/cartservice             cpu: 2%/50%     1         10        1          88m
checkout-hpa         Deployment/checkoutservice         cpu: 1%/50%     1         10        1          88m
frontend-hpa         Deployment/frontend                cpu: 2%/50%     1         10        1          88m
recommendation-hpa   Deployment/recommendationservice   cpu: 4%/50%     1         10        1          88m
checkout-hpa         Deployment/checkoutservice         cpu: 2%/50%     1         10        1          89m
frontend-hpa         Deployment/frontend                cpu: 14%/50%    1         10        1          89m
recommendation-hpa   Deployment/recommendationservice   cpu: 9%/50%     1         10        1          89m
checkout-hpa         Deployment/checkoutservice         cpu: 1%/50%     1         10        1          90m
frontend-hpa         Deployment/frontend                cpu: 15%/50%    1         10        1          90m
recommendation-hpa   Deployment/recommendationservice   cpu: 7%/50%     1         10        1          90m



100 users 70% HPA
PS C:\Windows\system32> kubectl get hpa --watch
NAME                 REFERENCE                          TARGETS              MINPODS   MAXPODS   REPLICAS   AGE
cart-hpa             Deployment/cartservice             cpu: 2%/70%          1         10        1          100m
checkout-hpa         Deployment/checkoutservice         cpu: 2%/70%          1         10        1          100m
frontend-hpa         Deployment/frontend                cpu: 2%/70%          1         10        1          100m
recommendation-hpa   Deployment/recommendationservice   cpu: 8%/70%          1         10        1          100m
checkout-hpa         Deployment/checkoutservice         cpu: 1%/70%          1         10        1          101m
cart-hpa             Deployment/cartservice             cpu: 13%/70%         1         10        1          101m
frontend-hpa         Deployment/frontend                cpu: 113%/70%        1         10        1          101m
recommendation-hpa   Deployment/recommendationservice   cpu: 41%/70%         1         10        1          101m
frontend-hpa         Deployment/frontend                cpu: 113%/70%        1         10        2          101m
cart-hpa             Deployment/cartservice             cpu: 19%/70%         1         10        1          102m
checkout-hpa         Deployment/checkoutservice         cpu: 2%/70%          1         10        1          102m
frontend-hpa         Deployment/frontend                cpu: 184%/70%        1         10        2          102m
recommendation-hpa   Deployment/recommendationservice   cpu: 70%/70%         1         10        1          102m
frontend-hpa         Deployment/frontend                cpu: 184%/70%        1         10        3          102m
frontend-hpa         Deployment/frontend                cpu: 97%/70%         1         10        3          103m
cart-hpa             Deployment/cartservice             cpu: 22%/70%         1         10        1          103m
checkout-hpa         Deployment/checkoutservice         cpu: 1%/70%          1         10        1          103m
recommendation-hpa   Deployment/recommendationservice   cpu: 71%/70%         1         10        1          103m
cart-hpa             Deployment/cartservice             cpu: 21%/70%         1         10        1          104m
frontend-hpa         Deployment/frontend                cpu: 64%/70%         1         10        3          104m
checkout-hpa         Deployment/checkoutservice         cpu: 2%/70%          1         10        1          104m
recommendation-hpa   Deployment/recommendationservice   cpu: 70%/70%         1         10        1          104m
frontend-hpa         Deployment/frontend                cpu: 63%/70%         1         10        3          105m
checkout-hpa         Deployment/checkoutservice         cpu: 1%/70%          1         10        1          105m
cart-hpa             Deployment/cartservice             cpu: 21%/70%         1         10        1          105m
frontend-hpa         Deployment/frontend                cpu: 62%/70%         1         10        3          106m
checkout-hpa         Deployment/checkoutservice         cpu: 2%/70%          1         10        1          106m
cart-hpa             Deployment/cartservice             cpu: 18%/70%         1         10        1          106m
recommendation-hpa   Deployment/recommendationservice   cpu: 69%/70%         1         10        1          106m
cart-hpa             Deployment/cartservice             cpu: 21%/70%         1         10        1          107m
frontend-hpa         Deployment/frontend                cpu: 64%/70%         1         10        3          107m
recommendation-hpa   Deployment/recommendationservice   cpu: 71%/70%         1         10        1          107m
cart-hpa             Deployment/cartservice             cpu: 22%/70%         1         10        1          108m
checkout-hpa         Deployment/checkoutservice         cpu: 1%/70%          1         10        1          108m
frontend-hpa         Deployment/frontend                cpu: 66%/70%         1         10        3          108m
recommendation-hpa   Deployment/recommendationservice   cpu: 72%/70%         1         10        1          108m
frontend-hpa         Deployment/frontend                cpu: 65%/70%         1         10        3          109m
cart-hpa             Deployment/cartservice             cpu: 20%/70%         1         10        1          109m
frontend-hpa         Deployment/frontend                cpu: 64%/70%         1         10        3          110m
cart-hpa             Deployment/cartservice             cpu: 19%/70%         1         10        1          110m
recommendation-hpa   Deployment/recommendationservice   cpu: 73%/70%         1         10        1          110m
frontend-hpa         Deployment/frontend                cpu: 63%/70%         1         10        3          111m
cart-hpa             Deployment/cartservice             cpu: 19%/70%         1         10        1          111m
