GKE multi-services

100 users 50% HPA

kubectl get hpa --watch
NAME                 REFERENCE                          TARGETS        MINPODS   MAXPODS   REPLICAS   AGE
checkout-hpa         Deployment/checkoutservice         cpu: 1%/50%    1         10        1          26s
frontend-hpa         Deployment/frontend                cpu: 17%/50%   1         10        1          27s
recommendation-hpa   Deployment/recommendationservice   cpu: 8%/50%    1         10        1          25s
frontend-hpa         Deployment/frontend                cpu: 69%/50%   1         10        1          57s
frontend-hpa         Deployment/frontend                cpu: 69%/50%   1         10        2          60s
frontend-hpa         Deployment/frontend                cpu: 199%/50%   1         10        2          72s
frontend-hpa         Deployment/frontend                cpu: 199%/50%   1         10        4          75s
cart-hpa             Deployment/cartservice             cpu: 21%/50%    1         10        1          86s
recommendation-hpa   Deployment/recommendationservice   cpu: 120%/50%   1         10        1          92s
checkout-hpa         Deployment/checkoutservice         cpu: 0%/50%     1         10        1          94s
recommendation-hpa   Deployment/recommendationservice   cpu: 120%/50%   1         10        3          105s
frontend-hpa         Deployment/frontend                cpu: 50%/50%    1         10        4          2m12s
cart-hpa             Deployment/cartservice             cpu: 12%/50%    1         10        1          2m26s
recommendation-hpa   Deployment/recommendationservice   cpu: 40%/50%    1         10        3          2m40s
checkout-hpa         Deployment/checkoutservice         cpu: 1%/50%     1         10        1          2m48s
recommendation-hpa   Deployment/recommendationservice   cpu: 41%/50%    1         10        3          3m47s
cart-hpa             Deployment/cartservice             cpu: 17%/50%    1         10        1          3m56s
cart-hpa             Deployment/cartservice             cpu: 15%/50%    1         10        1          4m56s
frontend-hpa         Deployment/frontend                cpu: 51%/50%    1         10        4          5m34s
recommendation-hpa   Deployment/recommendationservice   cpu: 41%/50%    1         10        3          5m47s
checkout-hpa         Deployment/checkoutservice         cpu: 0%/50%     1         10        1          6m3s
cart-hpa             Deployment/cartservice             cpu: 16%/50%    1         10        1          6m8s
frontend-hpa         Deployment/frontend                cpu: 50%/50%    1         10        4          6m34s
recommendation-hpa   Deployment/recommendationservice   cpu: 38%/50%    1         10        3          6m55s
cart-hpa             Deployment/cartservice             cpu: 10%/50%    1         10        1          7m11s
recommendation-hpa   Deployment/recommendationservice   cpu: 39%/50%    1         10        3          7m55s
